signal_id,issued_at_tehran,candle_close_tehran,symbol,direction,scenario_id,entry_price,stop_loss,take_profit,exit_mode,exit_param,sl_atr_mult,cm_candles,atr,entry_candle_ts,position_size_usd,risk_pct,reason,status,exit_price,exit_time_tehran,exit_reason,pnl_usd,return_pct,fee_usd,r_multiple,be_armed,be_price,be_armed_at_tehran,telegram_message_id,settle_message_id,last_check_ts,notes
F1-AVAX-USDT-20260921-1530,2026-09-21 15:30:00,2026-09-21 15:30:00,AVAX-USDT,LONG,F1,11.2890000000,10.8370738285,12.2498523431,FIXED,,1.5,144,0.3139507810,1789992000,10.00,4.0032,Khosro rule-book v1 | LONG conf=45.0 | ساختار روند همسو (EMA20>50>200)؛ قیمت بالای EMA20؛ RSI=59 در ناحیه سالم,SL_HIT,10.7140000000,2026-09-22 11:26:00,SL,-0.529345,-5.0935,0.020000,-1.2723,0,,,5046,5061,1790065740,2026-09-21 15:30:00|SIGNAL|entry=11.2890000000 || 2026-09-22 11:26:00|SETTLE_SL|exit=10.7140000000;pnl=-0.529345
F1-BNB-USDT-20260921-1530,2026-09-21 15:30:00,2026-09-21 15:30:00,BNB-USDT,LONG,F1,789.8640000000,780.6471955506,810.9886088988,FIXED,,1.5,144,6.7425362996,1789992000,10.00,1.1669,Khosro rule-book v1 | LONG conf=70.0 | ساختار روند همسو (EMA20>50>200)؛ قیمت بالای EMA20؛ RSI=71 در ناحیه سالم؛ مومنتوم MACD همسو و در حال تقویت؛ مومنتوم 12h: +2.4%,SL_HIT,780.6471955506,2026-09-23 17:03:00,SL,-0.136688,-1.1669,0.020000,-1.0000,0,,,5047,5064,1790171940,2026-09-21 15:30:00|SIGNAL|entry=789.8640000000 || 2026-09-23 17:03:00|SETTLE_SL|exit=780.6471955506;pnl=-0.136688
F1-BTC-USDT-20260921-1530,2026-09-21 15:30:00,2026-09-21 15:30:00,BTC-USDT,LONG,F1,84950.5000000000,83963.8516499394,86710.7967001212,FIXED,,1.5,144,610.4322333737,1789992000,10.00,1.1614,Khosro rule-book v1 | LONG conf=50.0 | ساختار روند همسو (EMA20>50>200)؛ قیمت بالای EMA20؛ هشدار اشباع (RSI=82)؛ مومنتوم MACD همسو و در حال تقویت؛ مومنتوم 12h: +4.6%,TP_HIT,86710.7967001212,2026-09-21 23:38:00,TP,0.187214,2.0721,0.020000,1.7841,0,,,5048,5057,1790022420,2026-09-21 15:30:00|SIGNAL|entry=84950.5000000000 || 2026-09-21 23:38:00|SETTLE_TP|exit=86710.7967001212;pnl=0.187214
F1-DOT-USDT-20260921-1530,2026-09-21 15:30:00,2026-09-21 15:30:00,DOT-USDT,LONG,F1,1.1880000000,1.1580232731,1.2524534539,FIXED,,1.5,144,0.0209844846,1789992000,10.00,2.5233,Khosro rule-book v1 | LONG conf=80.0 | ساختار روند همسو (EMA20>50>200)؛ قیمت بالای EMA20؛ RSI=62 در ناحیه سالم؛ مومنتوم MACD همسو و در حال تقویت؛ مومنتوم 12h: +4.9%,SL_HIT,1.1580232731,2026-09-23 12:21:00,SL,-0.272329,-2.5233,0.020000,-1.0000,0,,,5049,5063,1790153940,2026-09-21 15:30:00|SIGNAL|entry=1.1880000000 || 2026-09-23 12:21:00|SETTLE_SL|exit=1.1580232731;pnl=-0.272329
F1-ETH-USDT-20260921-1530,2026-09-21 15:30:00,2026-09-21 15:30:00,ETH-USDT,LONG,F1,2724.9500000000,2686.9461167848,2801.4677664304,FIXED,,1.5,144,25.4492554768,1789992000,10.00,1.3947,Khosro rule-book v1 | LONG conf=65.0 | ساختار روند همسو (EMA20>50>200)؛ قیمت بالای EMA20؛ مومنتوم MACD همسو و در حال تقویت؛ مومنتوم 12h: +3.0%؛ جهش حجم معاملات (×1.76),TP_HIT,2801.4677664304,2026-09-21 23:55:00,TP,0.260804,2.8080,0.020000,2.0134,0,,,5050,5058,1790022420,2026-09-21 15:30:00|SIGNAL|entry=2724.9500000000 || 2026-09-21 23:55:00|SETTLE_TP|exit=2801.4677664304;pnl=0.260804
F1-NEAR-USDT-20260921-1530,2026-09-21 15:30:00,2026-09-21 15:30:00,NEAR-USDT,LONG,F1,4.1717000000,3.9600506943,4.6033986115,FIXED,,1.5,144,0.1429662038,1789992000,10.00,5.0735,Khosro rule-book v1 | LONG conf=55.0 | ساختار روند همسو (EMA20>50>200)؛ قیمت بالای EMA20؛ RSI=54 در ناحیه سالم؛ مومنتوم 12h: +0.2%,TP_HIT,4.6033986115,2026-09-23 12:33:00,TP,1.014827,10.3483,0.020000,2.0397,0,,,5051,5065,1790171940,2026-09-21 15:30:00|SIGNAL|entry=4.1717000000 || 2026-09-23 12:33:00|SETTLE_TP|exit=4.6033986115;pnl=1.014827
F1-SEI-USDT-20260921-1530,2026-09-21 15:30:00,2026-09-21 15:30:00,SEI-USDT,LONG,F1,0.0612500000,0.0587060236,0.0669979528,FIXED,,1.5,144,0.0018426509,1789992000,10.00,4.1534,Khosro rule-book v1 | LONG conf=50.0 | ساختار روند همسو (EMA20>50>200)؛ قیمت بالای EMA20؛ هشدار اشباع (RSI=77)؛ مومنتوم MACD همسو و در حال تقویت؛ مومنتوم 12h: +15.2%,SL_HIT,0.0587060236,2026-09-21 18:52:00,SL,-0.435343,-4.1534,0.020000,-1.0000,0,,,5052,5056,1790004540,2026-09-21 15:30:00|SIGNAL|entry=0.0612500000 || 2026-09-21 18:52:00|SETTLE_SL|exit=0.0587060236;pnl=-0.435343
F1-SOL-USDT-20260921-1530,2026-09-21 15:30:00,2026-09-21 15:30:00,SOL-USDT,LONG,F1,116.9600000000,114.8227747625,120.6944504751,FIXED,,1.5,144,1.3048168250,1789992000,10.00,1.8273,Khosro rule-book v1 | LONG conf=50.0 | ساختار روند همسو (EMA20>50>200)؛ قیمت بالای EMA20؛ هشدار اشباع (RSI=79)؛ مومنتوم MACD همسو و در حال تقویت؛ مومنتوم 12h: +5.0%,SL_HIT,114.8227747625,2026-09-23 17:42:00,SL,-0.202731,-1.8273,0.020000,-1.0000,0,,,5053,5070,1790173740,2026-09-21 15:30:00|SIGNAL|entry=116.9600000000 || 2026-09-23 17:42:00|SETTLE_SL|exit=114.8227747625;pnl=-0.202731
F1-SUI-USDT-20260921-1530,2026-09-21 15:30:00,2026-09-21 15:30:00,SUI-USDT,LONG,F1,1.0184000000,0.9743186800,1.0978626399,FIXED,,1.5,144,0.0274542133,1789992000,10.00,4.3285,Khosro rule-book v1 | LONG conf=50.0 | ساختار روند همسو (EMA20>50>200)؛ قیمت بالای EMA20؛ هشدار اشباع (RSI=76)؛ مومنتوم MACD همسو و در حال تقویت؛ مومنتوم 12h: +13.2%,SL_HIT,0.9743186800,2026-09-23 17:42:00,SL,-0.452849,-4.3285,0.020000,-1.0000,0,,,5054,5071,1790173740,2026-09-21 15:30:00|SIGNAL|entry=1.0184000000 || 2026-09-23 17:42:00|SETTLE_SL|exit=0.9743186800;pnl=-0.452849
F1-XRP-USDT-20260921-1530,2026-09-21 15:30:00,2026-09-21 15:30:00,XRP-USDT,LONG,F1,1.4874600000,1.4589364089,1.5383271821,FIXED,,1.5,144,0.0176423940,1789992000,10.00,1.9176,Khosro rule-book v1 | LONG conf=57.0 | ساختار روند همسو (EMA20>50>200)؛ قیمت بالای EMA20؛ مومنتوم 12h: +5.3%؛ جهش حجم معاملات (×1.47),TP_HIT,1.5383271821,2026-09-22 02:37:00,TP,0.321973,3.4197,0.020000,1.7833,0,,,5055,5059,1790034600,2026-09-21 15:30:00|SIGNAL|entry=1.4874600000 || 2026-09-22 02:37:00|SETTLE_TP|exit=1.5383271821;pnl=0.321973
