symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
BTC-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),77295.20000000,76881.30480000,77791.87424000,2026-08-23 00:26:00,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.598 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.851 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=77253.46, EMA50=75989.58;✅ rawand EMA 4h: EMA21=74285.48, EMA50=70221.42, EMA200=66019.46;✅ RSI 30m: RSI=50.62;✅ MACD 30m: MACD_hist=40.5519;❌ vorud-e hoshmand poolback: ghimat=77295.2000 EMA=77259.9058 RSI=50.6 BS15=0.598;❌ ADX: ADX=9.57 [>22], DI+=338.16, DI-=409.69;✅ CCI obruz az 0: CCI=77.90;✅ SAR: SAR=77284.3260, gimat=77295.2000;✅ Stochastic cross: K=62.45 D=20.82;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0014 [>0.005];❌ filter-e ranj-e tarkibi: diff=0.0014, ADX=9.57, mode=AND -> RAD"
BNB-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),698.13000000,687.67387000,710.67735600,2026-08-23 00:26:00,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.460 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.814 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=694.33, EMA50=681.16;✅ rawand EMA 4h: EMA21=669.59, EMA50=642.81, EMA200=604.78;✅ RSI 30m: RSI=53.75;✅ MACD 30m: MACD_hist=0.4568;❌ vorud-e hoshmand poolback: ghimat=698.1300 EMA=696.2968 RSI=53.7 BS15=0.460;❌ ADX: ADX=97.53 [>22], DI+=8.65, DI-=692.79;❌ CCI obruz az 0: CCI=110.25 [eshba-e kharid];✅ SAR: SAR=697.4891, gimat=698.1300;❌ Stochastic cross: K=82.58 [eshba-e kharid];❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0053 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0053, ADX=97.53, mode=AND -> OK"
BNB-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),698.13000000,687.67387000,710.67735600,2026-08-23 00:26:01,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.460 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.814 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=694.33, EMA50=681.16;✅ rawand EMA 4h: EMA21=669.59, EMA50=642.81, EMA200=604.78;✅ RSI 30m: RSI=53.75;✅ MACD 30m: MACD_hist=0.4568;❌ vorud-e hoshmand poolback: ghimat=698.1300 EMA=696.2968 RSI=53.7 BS15=0.460;❌ ADX: ADX=97.53 [>22], DI+=8.65, DI-=692.79;❌ CCI obruz az 0: CCI=110.25 [eshba-e kharid];✅ SAR: SAR=697.4891, gimat=698.1300;❌ Stochastic cross: K=82.58 [eshba-e kharid];❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0053 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0053, ADX=97.53, mode=AND -> OK"
SOL-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),94.46000000,92.98554000,96.22935200,2026-08-23 00:26:01,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.364 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.857 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=93.83, EMA50=91.82;✅ rawand EMA 4h: EMA21=89.59, EMA50=84.23, EMA200=78.34;✅ RSI 30m: RSI=54.58;✅ MACD 30m: MACD_hist=0.0805;❌ vorud-e hoshmand poolback: ghimat=94.4600 EMA=94.1152 RSI=54.6 BS15=0.364;❌ ADX: ADX=8.86 [>22], DI+=300.00, DI-=358.33;✅ CCI obruz az 0: CCI=90.76;✅ SAR: SAR=94.3988, gimat=94.4600;❌ Stochastic cross: K=80.69 [eshba-e kharid];❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0057 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0057, ADX=8.86, mode=AND -> OK"
SOL-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),94.46000000,92.98554000,96.22935200,2026-08-23 00:26:01,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.364 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.857 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=93.83, EMA50=91.82;✅ rawand EMA 4h: EMA21=89.59, EMA50=84.23, EMA200=78.34;✅ RSI 30m: RSI=54.58;✅ MACD 30m: MACD_hist=0.0805;❌ vorud-e hoshmand poolback: ghimat=94.4600 EMA=94.1152 RSI=54.6 BS15=0.364;❌ ADX: ADX=8.86 [>22], DI+=300.00, DI-=358.33;✅ CCI obruz az 0: CCI=90.76;✅ SAR: SAR=94.3988, gimat=94.4600;❌ Stochastic cross: K=80.69 [eshba-e kharid];❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0057 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0057, ADX=8.86, mode=AND -> OK"
XRP-USDT,LONG,S1,شیر طلایی (Golden Lion),1.50321000,1.43298679,1.58747785,2026-08-23 00:26:02,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.789 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.093 [>= 0.6];✅ rawand EMA 1h: EMA21=1.48, EMA50=1.41;✅ rawand EMA 4h: EMA21=1.34, EMA50=1.21, EMA200=1.10;✅ RSI 30m: RSI=53.75;✅ MACD 30m: MACD_hist=0.0032;❌ vorud-e hoshmand poolback: ghimat=1.5032 EMA=1.4911 RSI=53.7 BS15=0.789;❌ ADX: ADX=28.73 [>22], DI+=211.92, DI-=382.78;✅ CCI obruz az 0: CCI=83.31;✅ SAR: SAR=1.4950, gimat=1.5032;❌ Stochastic cross: K=85.14 [eshba-e kharid];❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0112 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0112, ADX=28.73, mode=AND -> OK"
XRP-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),1.50321000,1.43298679,1.58747785,2026-08-23 00:26:05,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.789 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.093 [>= 0.6];✅ rawand EMA 1h: EMA21=1.48, EMA50=1.41;✅ rawand EMA 4h: EMA21=1.34, EMA50=1.21, EMA200=1.10;✅ RSI 30m: RSI=53.75;✅ MACD 30m: MACD_hist=0.0032;❌ vorud-e hoshmand poolback: ghimat=1.5032 EMA=1.4911 RSI=53.7 BS15=0.789;❌ ADX: ADX=28.73 [>22], DI+=211.92, DI-=382.78;✅ CCI obruz az 0: CCI=83.31;✅ SAR: SAR=1.4950, gimat=1.5032;❌ Stochastic cross: K=85.14 [eshba-e kharid];❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0112 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0112, ADX=28.73, mode=AND -> OK"
XRP-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),1.50321000,1.43298679,1.58747785,2026-08-23 00:26:06,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.789 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.093 [>= 0.6];✅ rawand EMA 1h: EMA21=1.48, EMA50=1.41;✅ rawand EMA 4h: EMA21=1.34, EMA50=1.21, EMA200=1.10;✅ RSI 30m: RSI=53.75;✅ MACD 30m: MACD_hist=0.0032;❌ vorud-e hoshmand poolback: ghimat=1.5032 EMA=1.4911 RSI=53.7 BS15=0.789;❌ ADX: ADX=28.73 [>22], DI+=211.92, DI-=382.78;✅ CCI obruz az 0: CCI=83.31;✅ SAR: SAR=1.4950, gimat=1.5032;❌ Stochastic cross: K=85.14 [eshba-e kharid];❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0112 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0112, ADX=28.73, mode=AND -> OK"
LTC-USDT,LONG,S1,شیر طلایی (Golden Lion),52.86000000,51.69714000,54.25543200,2026-08-23 00:26:06,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.833 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=52.29, EMA50=51.16;✅ rawand EMA 4h: EMA21=50.12, EMA50=47.83, EMA200=46.03;✅ RSI 30m: RSI=57.17;✅ MACD 30m: MACD_hist=0.1225;❌ vorud-e hoshmand poolback: ghimat=52.8600 EMA=52.5040 RSI=57.2 BS15=0.833;✅ ADX: ADX=25.58 [>22], DI+=374.26, DI-=221.78;✅ CCI obruz az 0: CCI=95.08;❌ SAR: SAR=52.9572, gimat=52.8600;✅ Stochastic cross: K=62.56 D=20.85;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0068 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0068, ADX=25.58, mode=AND -> OK"
LTC-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),52.86000000,51.69714000,54.25543200,2026-08-23 00:26:07,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.833 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=52.29, EMA50=51.16;✅ rawand EMA 4h: EMA21=50.12, EMA50=47.83, EMA200=46.03;✅ RSI 30m: RSI=57.17;✅ MACD 30m: MACD_hist=0.1225;❌ vorud-e hoshmand poolback: ghimat=52.8600 EMA=52.5040 RSI=57.2 BS15=0.833;✅ ADX: ADX=25.58 [>22], DI+=374.26, DI-=221.78;✅ CCI obruz az 0: CCI=95.08;❌ SAR: SAR=52.9572, gimat=52.8600;✅ Stochastic cross: K=62.56 D=20.85;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0068 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0068, ADX=25.58, mode=AND -> OK"
LTC-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),52.86000000,51.69714000,54.25543200,2026-08-23 00:26:07,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.833 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=52.29, EMA50=51.16;✅ rawand EMA 4h: EMA21=50.12, EMA50=47.83, EMA200=46.03;✅ RSI 30m: RSI=57.17;✅ MACD 30m: MACD_hist=0.1225;❌ vorud-e hoshmand poolback: ghimat=52.8600 EMA=52.5040 RSI=57.2 BS15=0.833;✅ ADX: ADX=25.58 [>22], DI+=374.26, DI-=221.78;✅ CCI obruz az 0: CCI=95.08;❌ SAR: SAR=52.9572, gimat=52.8600;✅ Stochastic cross: K=62.56 D=20.85;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0068 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0068, ADX=25.58, mode=AND -> OK"
