symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
SOL-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),105.23000000,104.28477000,106.36427600,2026-08-30 00:08:50,TP_HIT,2026-08-30 16:53:00,106.36427600,0.020000,0.087790,10.00,1.0779,"❌ ghoodat-e kandel 15m: BS15=0.042 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.308 [>= 0.6];✅ rawand EMA 1h: EMA21=104.55, EMA50=104.30;✅ rawand EMA 4h: EMA21=103.48, EMA50=98.77, EMA200=85.83;✅ RSI 30m: RSI=60.69;✅ MACD 30m: MACD_hist=0.0662;❌ vorud-e hoshmand poolback: ghimat=105.2300 EMA=104.7366 RSI=60.7 BS15=0.042;❌ ADX: ADX=3.23 [>22], DI+=340.52, DI-=363.28;✅ CCI obruz az 0: CCI=63.44;✅ SAR: SAR=105.2074, gimat=105.2300;✅ Stochastic cross: K=69.42 D=23.14;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleBottom;❌ filter-e ranj: faseleh EMA=0.0020 [>0.005];❌ filter-e ranj-e tarkibi: diff=0.0020, ADX=3.23, mode=AND -> RAD"
SOL-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),105.28000000,104.70472000,105.97033600,2026-08-30 05:39:01,STOP_HIT,2026-08-30 08:17:00,104.70472000,0.020000,-0.074643,10.00,-0.5464,"❌ ghoodat-e kandel 15m: BS15=0.042 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.625 [>= 0.6];✅ rawand EMA 1h: EMA21=104.89, EMA50=104.52;✅ rawand EMA 4h: EMA21=103.67, EMA50=99.04, EMA200=86.02;✅ RSI 30m: RSI=56.41;❌ MACD 30m: MACD_hist=-0.0508;❌ vorud-e hoshmand poolback: ghimat=105.2800 EMA=105.1020 RSI=56.4 BS15=0.042;❌ ADX: ADX=48.31 [>22], DI+=147.88, DI-=424.24;✅ CCI obruz az 0: CCI=25.53;✅ SAR: SAR=105.0478, gimat=105.2800;✅ Stochastic cross: K=47.00 D=15.67;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0028 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0028, ADX=48.31, mode=AND -> OK"
SOL-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),105.28000000,104.70472000,105.97033600,2026-08-30 05:39:02,STOP_HIT,2026-08-30 08:17:00,104.70472000,0.020000,-0.074643,10.00,-0.5464,"❌ ghoodat-e kandel 15m: BS15=0.042 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.625 [>= 0.6];✅ rawand EMA 1h: EMA21=104.89, EMA50=104.52;✅ rawand EMA 4h: EMA21=103.67, EMA50=99.04, EMA200=86.02;✅ RSI 30m: RSI=56.41;❌ MACD 30m: MACD_hist=-0.0508;❌ vorud-e hoshmand poolback: ghimat=105.2800 EMA=105.1020 RSI=56.4 BS15=0.042;❌ ADX: ADX=48.31 [>22], DI+=147.88, DI-=424.24;✅ CCI obruz az 0: CCI=25.53;✅ SAR: SAR=105.0478, gimat=105.2800;✅ Stochastic cross: K=47.00 D=15.67;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0028 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0028, ADX=48.31, mode=AND -> OK"
SOL-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),105.30000000,104.79470000,105.90636000,2026-08-30 06:08:47,STOP_HIT,2026-08-30 08:17:00,104.79470000,0.020000,-0.067987,10.00,-0.4799,"❌ ghoodat-e kandel 15m: BS15=0.429 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.750 [>= 0.6];✅ rawand EMA 1h: EMA21=104.89, EMA50=104.52;✅ rawand EMA 4h: EMA21=103.68, EMA50=99.04, EMA200=86.02;✅ RSI 30m: RSI=56.27;❌ MACD 30m: MACD_hist=-0.0483;❌ vorud-e hoshmand poolback: ghimat=105.3000 EMA=105.1275 RSI=56.3 BS15=0.429;❌ ADX: ADX=30.10 [>22], DI+=218.37, DI-=406.41;✅ CCI obruz az 0: CCI=18.34;✅ SAR: SAR=105.1906, gimat=105.3000;✅ Stochastic cross: K=51.04 D=17.01;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0029 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0029, ADX=30.10, mode=AND -> OK"
SOL-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),105.30000000,104.79470000,105.90636000,2026-08-30 06:08:48,STOP_HIT,2026-08-30 08:17:00,104.79470000,0.020000,-0.067987,10.00,-0.4799,"❌ ghoodat-e kandel 15m: BS15=0.429 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.750 [>= 0.6];✅ rawand EMA 1h: EMA21=104.89, EMA50=104.52;✅ rawand EMA 4h: EMA21=103.68, EMA50=99.04, EMA200=86.02;✅ RSI 30m: RSI=56.27;❌ MACD 30m: MACD_hist=-0.0483;❌ vorud-e hoshmand poolback: ghimat=105.3000 EMA=105.1275 RSI=56.3 BS15=0.429;❌ ADX: ADX=30.10 [>22], DI+=218.37, DI-=406.41;✅ CCI obruz az 0: CCI=18.34;✅ SAR: SAR=105.1906, gimat=105.3000;✅ Stochastic cross: K=51.04 D=17.01;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0029 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0029, ADX=30.10, mode=AND -> OK"
NEAR-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),1.86320000,1.84513680,1.88487584,2026-08-30 06:08:49,TP_HIT,2026-08-30 06:49:00,1.88487584,0.020000,0.096337,10.00,1.1634,"✅ ghoodat-e kandel 15m: BS15=0.709 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.848 [khayli bala - ehtemal-e payan-e harakat];❌ rawand EMA 1h: EMA21=1.84, EMA50=1.85;✅ rawand EMA 4h: EMA21=1.86, EMA50=1.85, EMA200=1.80;✅ RSI 30m: RSI=58.84;❌ MACD 30m: MACD_hist=-0.0023;❌ vorud-e hoshmand poolback: ghimat=1.8632 EMA=1.8530 RSI=58.8 BS15=0.709;✅ ADX: ADX=66.03 [>22], DI+=483.21, DI-=98.86;✅ CCI obruz az 0: CCI=20.86;✅ SAR: SAR=1.8474, gimat=1.8632;✅ Stochastic cross: K=41.54 D=13.85;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;❌ poolback: bedun poolback;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0057 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0057, ADX=66.03, mode=AND -> OK"
NEAR-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),1.86320000,1.84513680,1.88487584,2026-08-30 06:08:49,TP_HIT,2026-08-30 06:49:00,1.88487584,0.020000,0.096337,10.00,1.1634,"✅ ghoodat-e kandel 15m: BS15=0.709 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.848 [khayli bala - ehtemal-e payan-e harakat];❌ rawand EMA 1h: EMA21=1.84, EMA50=1.85;✅ rawand EMA 4h: EMA21=1.86, EMA50=1.85, EMA200=1.80;✅ RSI 30m: RSI=58.84;❌ MACD 30m: MACD_hist=-0.0023;❌ vorud-e hoshmand poolback: ghimat=1.8632 EMA=1.8530 RSI=58.8 BS15=0.709;✅ ADX: ADX=66.03 [>22], DI+=483.21, DI-=98.86;✅ CCI obruz az 0: CCI=20.86;✅ SAR: SAR=1.8474, gimat=1.8632;✅ Stochastic cross: K=41.54 D=13.85;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;❌ poolback: bedun poolback;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0057 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0057, ADX=66.03, mode=AND -> OK"
NEAR-USDT,LONG,B1,موج تند (Fast Wave),1.86320000,1.84513680,1.88126320,2026-08-30 06:08:50,TP_HIT,2026-08-30 06:49:00,1.88126320,0.020000,0.076947,10.00,0.9695,"✅ ghoodat-e kandel 15m: BS15=0.709 [>= 0.48];❌ ghoodat-e kandel 5m: BS5=0.848 [khayli bala - ehtemal-e payan-e harakat];❌ rawand EMA 1h: EMA21=1.84, EMA50=1.85;✅ rawand EMA 4h: EMA21=1.86, EMA50=1.85, EMA200=1.80;✅ RSI 30m: RSI=58.84;❌ MACD 30m: MACD_hist=-0.0023;❌ vorud-e hoshmand poolback: ghimat=1.8632 EMA=1.8530 RSI=58.8 BS15=0.709;✅ ADX: ADX=66.03 [>22], DI+=483.21, DI-=98.86;✅ CCI obruz az 0: CCI=20.86;✅ SAR: SAR=1.8474, gimat=1.8632;✅ Stochastic cross: K=41.54 D=13.85;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;❌ poolback: bedun poolback;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0057 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0057, ADX=66.03, mode=OR -> OK"
NEAR-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),1.86810000,1.84513190,1.89566172,2026-08-30 06:39:01,TP_HIT,2026-08-30 10:21:00,1.89566172,0.020000,0.127539,10.00,1.4754,"❌ ghoodat-e kandel 15m: BS15=0.849 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=0.455 [>= 0.6];❌ rawand EMA 1h: EMA21=1.85, EMA50=1.85;✅ rawand EMA 4h: EMA21=1.86, EMA50=1.85, EMA200=1.80;✅ RSI 30m: RSI=61.46;❌ MACD 30m: MACD_hist=-0.0018;❌ vorud-e hoshmand poolback: ghimat=1.8681 EMA=1.8539 RSI=61.5 BS15=0.849;✅ ADX: ADX=78.50 [>22], DI+=542.21, DI-=65.32;✅ CCI obruz az 0: CCI=55.73;✅ SAR: SAR=1.8563, gimat=1.8681;❌ Stochastic cross: K=72.26 D=24.09;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;❌ poolback: bedun poolback;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0058 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0058, ADX=78.50, mode=AND -> OK"
NEAR-USDT,LONG,B1,موج تند (Fast Wave),1.86810000,1.84513190,1.89106810,2026-08-30 06:39:02,TP_HIT,2026-08-30 08:36:00,1.89106810,0.020000,0.102949,10.00,1.2295,"❌ ghoodat-e kandel 15m: BS15=0.849 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=0.455 [>= 0.48];❌ rawand EMA 1h: EMA21=1.85, EMA50=1.85;✅ rawand EMA 4h: EMA21=1.86, EMA50=1.85, EMA200=1.80;✅ RSI 30m: RSI=61.46;❌ MACD 30m: MACD_hist=-0.0018;❌ vorud-e hoshmand poolback: ghimat=1.8681 EMA=1.8539 RSI=61.5 BS15=0.849;✅ ADX: ADX=78.50 [>22], DI+=542.21, DI-=65.32;✅ CCI obruz az 0: CCI=55.73;✅ SAR: SAR=1.8563, gimat=1.8681;❌ Stochastic cross: K=72.26 D=24.09;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;❌ poolback: bedun poolback;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0058 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0058, ADX=78.50, mode=OR -> OK"
NEAR-USDT,LONG,B2,سپر فولادی (Steel Shield),1.86810000,1.84513190,1.89106810,2026-08-30 06:39:02,TP_HIT,2026-08-30 08:36:00,1.89106810,0.020000,0.102949,10.00,1.2295,"❌ ghoodat-e kandel 15m: BS15=0.849 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=0.455 [>= 0.48];❌ rawand EMA 1h: EMA21=1.85, EMA50=1.85;✅ rawand EMA 4h: EMA21=1.86, EMA50=1.85, EMA200=1.80;✅ RSI 30m: RSI=61.46;❌ MACD 30m: MACD_hist=-0.0018;❌ vorud-e hoshmand poolback: ghimat=1.8681 EMA=1.8539 RSI=61.5 BS15=0.849;✅ ADX: ADX=78.50 [>22], DI+=542.21, DI-=65.32;✅ CCI obruz az 0: CCI=55.73;✅ SAR: SAR=1.8563, gimat=1.8681;❌ Stochastic cross: K=72.26 D=24.09;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;❌ poolback: bedun poolback;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0058 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0058, ADX=78.50, mode=OR -> OK"
